"word","freq"
"burn",65
"leaves",65
"room",65
"somewhere",65
"theyre",65
"tom",65
"whoa",65
"belong",64
"flower",64
"hundred",64
"keeps",64
"ley",64
"lover",64
"mamma",64
"near",64
"stronger",64
"destiny",63
"middle",63
"miracle",63
"red",63
"seen",63
"angels",62
"colours",62
"gives",62
"hell",62
"higher",62
"hit",62
"leaving",62
"lot",62
"passion",62
"remain",62
"towards",62
"longing",61
"scared",61
"blood",60
"couldnt",60
"giving",60
"grow",60
"loud",60
"meant",60
"nanana",60
"path",60
"pray",60
"secret",60
"wants",60
"wine",60
"birds",59
"closer",59
"golden",59
"often",59
"stone",59
"wall",59
"write",59
"able",58
"beginning",58
"hop",58
"shout",58
"telling",58
"work",58
"flame",57
"fool",57
"future",57
"gets",57
"half",57
"others",57
"promise",57
"reality",57
"style",57
"apple",56
"beats",56
"everywhere",56
"hate",56
"jennie",56
"rimi",56
"sign",56
"sunday",56
"within",56
"eternity",55
"fantasy",55
"lead",55
"lovely",55
"ride",55
"universe",55
"winter",55
"beach",54
"bed",54
"boat",54
"cross",54
"gimme",54
"gold",54
"journey",54
"passing",54
"win",54
"fast",53
"garden",53
"kill",53
"kisses",53
"knowing",53
"push",53
"slowly",53
"sounds",53
"thunder",53
"worry",53
"brings",52
"dear",52
"drink",52
"drop",52
"fine",52
"lay",52
"pretty",52
"shadow",52
"suddenly",52
"thanks",52
"top",52
"asking",51
"control",51
"forgive",51
"lovers",51
"sol",51
"talking",51
"turns",51
"wherever",51
"year",51
"dare",50
"floor",50
"freedom",50
"grey",50
"laughter",50
"sees",50
"tender",50
"train",50
"admit",49
"babe",49
"heartbeat",49
"maria",49
"ringdingadingading",49
"sailing",49
"saying",49
"sense",49
"shut",49
"single",49
"survive",49
"wide",49
"wouldnt",49
"doo",48
"hallelujah",48
"mad",48
"memory",48
"moni",48
"perfect",48
"snow",48
"strength",48
"sunshine",48
"yay",48
"yeah…",48
"beside",47
"breaking",47
"catch",47
"doesn’t",47
"enjoy",47
"escape",47
"looks",47
"losing",47
"spirit",47
"throw",47
"tight",47
"anywhere",46
"ela",46
"fighting",46
"ice",46
"language",46
"lying",46
"simply",46
"straight",46
"ago",45
"ahead",45
"forgotten",45
"given",45
"hair",45
"happens",45
"moving",45
"rules",45
"satellite",45
"tune",45
"tweet",45
"women",45
"almost",44
"beauty",44
"cep",44
"clap",44
"clown",44
"cool",44
"ding",44
"heat",44
"hours",44
"luck",44
"paradise",44
"played",44
"quickly",44
"rose",44
"somebody",44
"sowing",44
"springtime",44
"streets",44
"war",44
"choose",43
"hay",43
"hupa",43
"isnt",43
"join",43
"king",43
"lovin",43
"postchorus",43
"pride",43
"rising",43
"seven",43
"ship",43
"taste",43
"voices",43
"anyone",42
"asleep",42
"blow",42
"eye",42
"falls",42
"forward",42
"mmm",42
"shall",42
"turning",42
"walked",42
"awake",41
"ends",41
"known",41
"lalalala",41
"mountains",41
"passed",41
"piano",41
"refrain",41
"ring",41
"says",41
"softly",41
"space",41
"turned",41
"upon",41
"use",41
"youd",41
"breathing",40
"changed",40
"count",40
"cries",40
"dies",40
"dong",40
"embrace",40
"guide",40
"plays",40
"rest",40
"strange",40
"whisper",40
"youth",40
"called",39
"corner",39
"doubt",39
"games",39
"harmony",39
"magical",39
"nowhere",39
"penguin",39
"piece",39
"read",39
"simple",39
"worth",39
"candles",38
"disappear",38
"fade",38
"hero",38
"imagine",38
"outside",38
"prayer",38
"sleeping",38
"surrender",38
"tree",38
"coco",37
"distance",37
"euro",37
"everyday",37
"hurricane",37
"least",37
"met",37
"minds",37
"mountain",37
"needs",37
"number",37
"proud",37
"seem",37
"shines",37
"sister",37
"skies",37
"viva",37
"build",36
"cloud",36
"drum",36
"eurovision",36
"horizon",36
"hule",36
"lord",36
"lucky",36
"makin",36
"moonlight",36
"northern",36
"ocean",36
"pay",36
"pieces",36
"playback",36
"steal",36
"trees",36
"ways",36
"“",36
"alright",35
"amambanda",35
"believing",35
"celebration",35
"clock",35
"courage",35
"dying",35
"filled",35
"freaky",35
"guitar",35
"hot",35
"human",35
"lalala…",35
"lived",35
"rich",35
"roses",35
"safe",35
"spend",35
"wasnt",35
"window",35
"’d",35
"aah",34
"bird",34
"boonika",34
"bottom",34
"boys",34
"breaks",34
"dances",34
"devil",34
"held",34
"hour",34
"instead",34
"loneliness",34
"movin",34
"papapa",34
"pick",34
"planet",34
"shaking",34
"shame",34
"steps",34
"swing",34
"wave",34
"weather",34
"whoa…",34
"across",33
"bang",33
"bate",33
"con",33
"danger",33
"eternal",33
"everythings",33
"gwena",33
"happening",33
"hidden",33
"judy",33
"jump",33
"mister",33
"oyda",33
"paris",33
"phone",33
"pretend",33
"queen",33
"sorrows",33
"special",33
"stops",33
"til",33
"troubles",33
"vain",33
"winds",33
"among",32
"asked",32
"glory",32
"hiding",32
"laughing",32
"likes",32
"mile",32
"oil",32
"overcome",32
"quite",32
"raise",32
"sand",32
"thinks",32
"answers",31
"closed",31
"fears",31
"glow",31
"grows",31
"guess",31
"hoping",31
"letting",31
"lied",31
"looked",31
"means",31
"neuro",31
"non",31
"percent",31
"petr",31
"searching",31
"sin",31
"swear",31
"trouble",31
"written",31
"act",30
"although",30
"amen",30
"belongs",30
"bitter",30
"blues",30
"book",30
"caught",30
"deny",30
"emotions",30
"fair",30
"flow",30
"heroes",30
"lifetime",30
"minute",30
"moves",30
"mrs",30
"ohoh",30
"opera",30
"point",30
"poor",30
"quiet",30
"rather",30
"sail",30
"shalala",30
"somehow",30
"spinning",30
"started",30
"stories",30
"stuck",30
"toy",30
"unite",30
"winners",30
"ah…",29
"attention",29
"autumn",29
"becomes",29
"bum",29
"calm",29
"chains",29
"chest",29
"color",29
"dancin",29
"demons",29
"draw",29
"europe",29
"grass",29
"heal",29
"history",29
"imagination",29
"kept",29
"key",29
"kings",29
"lala…",29
"lisa",29
"mistakes",29
"news",29
"oliver",29
"pull",29
"questions",29
"reaching",29
"remains",29
"runs",29
"send",29
"singe",29
"stage",29
"sufi",29
"useless",29
"working",29
"anyway",28
"blind",28
"colour",28
"cut",28
"dirty",28
"endless",28
"four",28
"frozen",28
"knees",28
"knock",28
"lai…",28
"la…",28
"listening",28
"madness",28
"mercy",28
"rainbow",28
"ran",28
"regret",28
"rivers",28
"second",28
"sings",28
"taken",28
"amazing",27
"begging",27
"brand",27
