"year","edition","to","points","iso2"
2015,"2015f","Belgium",217,"BE"
2015,"2015f","Cyprus",11,"CY"
2015,"2015f","Estonia",106,"EE"
2015,"2015f","France",4,"FR"
2015,"2015f","Georgia",51,"GE"
2015,"2015f","Germany",0,"DE"
2015,"2015f","Greece",23,"GR"
2015,"2015f","Hungary",19,"HU"
2015,"2015f","Israel",97,"IL"
2015,"2015f","Italy",292,"IT"
2015,"2015f","Latvia",186,"LV"
2015,"2015f","Lithuania",30,"LT"
2015,"2015f","Montenegro",44,"ME"
2015,"2015f","Norway",102,"NO"
2015,"2015f","Poland",10,"PL"
2015,"2015f","Romania",35,"RO"
2015,"2015f","Russia",303,"RU"
2015,"2015f","Serbia",53,"RS"
2015,"2015f","Slovenia",39,"SI"
2015,"2015f","Spain",15,"ES"
2015,"2015f","Sweden",365,"SE"
2015,"2015f","United Kingdom",5,"GB"
2016,"2016f","Armenia",249,"AM"
2016,"2016f","Australia",511,"AU"
2016,"2016f","Austria",151,"AT"
2016,"2016f","Azerbaijan",117,"AZ"
2016,"2016f","Belgium",181,"BE"
2016,"2016f","Bulgaria",307,"BG"
2016,"2016f","Croatia",73,"HR"
2016,"2016f","Cyprus",96,"CY"
2016,"2016f","Czech Republic",41,"CZ"
2016,"2016f","France",257,"FR"
2016,"2016f","Georgia",104,"GE"
2016,"2016f","Germany",11,"DE"
2016,"2016f","Hungary",108,"HU"
2016,"2016f","Israel",135,"IL"
2016,"2016f","Italy",124,"IT"
2016,"2016f","Latvia",132,"LV"
2016,"2016f","Lithuania",200,"LT"
2016,"2016f","Malta",153,"MT"
2016,"2016f","Poland",229,"PL"
2016,"2016f","Russia",491,"RU"
2016,"2016f","Serbia",115,"RS"
2016,"2016f","Spain",77,"ES"
2016,"2016f","Sweden",261,"SE"
2016,"2016f","The Netherlands",153,"NL"
2016,"2016f","Ukraine",534,"UA"
2016,"2016f","United Kingdom",62,"GB"
2017,"2017f","Armenia",79,"AM"
2017,"2017f","Australia",173,"AU"
2017,"2017f","Austria",93,"AT"
2017,"2017f","Azerbaijan",120,"AZ"
2017,"2017f","Belarus",83,"BY"
2017,"2017f","Belgium",363,"BE"
2017,"2017f","Bulgaria",615,"BG"
2017,"2017f","Croatia",128,"HR"
2017,"2017f","Cyprus",68,"CY"
2017,"2017f","Denmark",77,"DK"
2017,"2017f","France",135,"FR"
2017,"2017f","Germany",6,"DE"
2017,"2017f","Greece",77,"GR"
2017,"2017f","Hungary",200,"HU"
2017,"2017f","Israel",39,"IL"
2017,"2017f","Italy",334,"IT"
2017,"2017f","Moldova",374,"MD"
2017,"2017f","Norway",158,"NO"
2017,"2017f","Poland",64,"PL"
2017,"2017f","Portugal",758,"PT"
2017,"2017f","Romania",282,"RO"
2017,"2017f","Spain",5,"ES"
2017,"2017f","Sweden",344,"SE"
2017,"2017f","The Netherlands",150,"NL"
2017,"2017f","Ukraine",36,"UA"
2017,"2017f","United Kingdom",111,"GB"
2018,"2018f","Albania",184,"AL"
2018,"2018f","Australia",99,"AU"
2018,"2018f","Austria",342,"AT"
2018,"2018f","Bulgaria",166,"BG"
2018,"2018f","Cyprus",436,"CY"
2018,"2018f","Czech Republic",281,"CZ"
2018,"2018f","Denmark",226,"DK"
2018,"2018f","Estonia",245,"EE"
2018,"2018f","Finland",46,"FI"
2018,"2018f","France",173,"FR"
2018,"2018f","Germany",340,"DE"
2018,"2018f","Hungary",93,"HU"
2018,"2018f","Ireland",136,"IE"
2018,"2018f","Israel",529,"IL"
2018,"2018f","Italy",308,"IT"
2018,"2018f","Lithuania",181,"LT"
2018,"2018f","Moldova",209,"MD"
2018,"2018f","Norway",144,"NO"
2018,"2018f","Portugal",39,"PT"
2018,"2018f","Serbia",113,"RS"
2018,"2018f","Slovenia",64,"SI"
2018,"2018f","Spain",61,"ES"
2018,"2018f","Sweden",274,"SE"
2018,"2018f","The Netherlands",121,"NL"
2018,"2018f","Ukraine",130,"UA"
2018,"2018f","United Kingdom",48,"GB"
2019,"2019f","Albania",90,"AL"
2019,"2019f","Australia",284,"AU"
2019,"2019f","Azerbaijan",302,"AZ"
2019,"2019f","Belarus",31,"BY"
2019,"2019f","Cyprus",109,"CY"
2019,"2019f","Czech Republic",157,"CZ"
2019,"2019f","Denmark",120,"DK"
2019,"2019f","Estonia",76,"EE"
2019,"2019f","France",105,"FR"
2019,"2019f","Germany",24,"DE"
2019,"2019f","Greece",74,"GR"
2019,"2019f","Iceland",232,"IS"
2019,"2019f","Israel",35,"IL"
2019,"2019f","Italy",472,"IT"
2019,"2019f","Malta",107,"MT"
2019,"2019f","North Macedonia",305,"MK"
2019,"2019f","Norway",331,"NO"
2019,"2019f","Russia",370,"RU"
2019,"2019f","San Marino",77,"SM"
2019,"2019f","Serbia",89,"RS"
2019,"2019f","Slovenia",105,"SI"
2019,"2019f","Spain",54,"ES"
2019,"2019f","Sweden",334,"SE"
2019,"2019f","Switzerland",364,"CH"
2019,"2019f","The Netherlands",498,"NL"
2019,"2019f","United Kingdom",11,"GB"
