"word","freq"
"whisper",4
"yet",4
"able",3
"afloat",3
"alright",3
"also",3
"angel",3
"anthem",3
"art",3
"ashes",3
"bad",3
"bed",3
"believing",3
"bet",3
"blasted",3
"borders",3
"boys",3
"breath",3
"breathe",3
"broken",3
"build",3
"came",3
"caught",3
"chances",3
"cherished",3
"cursed",3
"dancers",3
"dayna",3
"deep",3
"dew",3
"ding",3
"done",3
"drawing",3
"emotions",3
"everlasting",3
"fairytale",3
"fault",3
"fell",3
"felt",3
"fields",3
"force",3
"forevermore",3
"freedom",3
"friend",3
"glory",3
"god's",3
"gods",3
"hair",3
"happening",3
"head",3
"heartbeat",3
"hummingbird",3
"hunger",3
"impossible",3
"intro",3
"king",3
"kissing",3
"knew",3
"knows",3
"lalala",3
"learned",3
"leaves",3
"lightning",3
"limit",3
"lips",3
"listening",3
"lives",3
"loves",3
"magic",3
"magical",3
"may",3
"melancholy",3
"mirror",3
"mission",3
"moon",3
"morning",3
"mothabucka",3
"necessary",3
"nevermind",3
"next",3
"nothing's",3
"old",3
"opened",3
"orbit",3
"others",3
"paper",3
"pass",3
"past",3
"paths",3
"piece",3
"pieces",3
"playing",3
"please",3
"point",3
"prayer",3
"princess",3
"promised",3
"quiet",3
"radio",3
"rains",3
"ready",3
"really",3
"reason",3
"reborn",3
"regret",3
"rest",3
"retribution",3
"return",3
"rising",3
"rockmebaby",3
"roof",3
"said",3
"satellite",3
"saved",3
"saw",3
"seek",3
"seeking",3
"sense",3
"set",3
"shooting",3
"show",3
"silent",3
"silver",3
"small",3
"smell",3
"smiling",3
"sorrow",3
"spark",3
"speed",3
"stays",3
"stopping",3
"straight",3
"stream",3
"stress",3
"supernatural",3
"talkin",3
"thunder",3
"top",3
"touch",3
"touching",3
"transformed",3
"treasure",3
"unfortunately",3
"upon",3
"uptight",3
"vengeance",3
"walking",3
"wall",3
"war",3
"warmth",3
"warned",3
"whooh",3
"windy",3
"written",3
"years",3
"aaaani",2
"act",2
"actually",2
"add",2
"ago",2
"aha",2
"aim",2
"alive",2
"allegiance",2
"almost",2
"aman",2
"ambitions",2
"among",2
"aprodita",2
"arrow",2
"audiences",2
"awake",2
"awe",2
"bakamhmbakmhmbakmhmbakmhmbakmhm",2
"bang",2
"beats",2
"beauty",2
"beginning",2
"begins",2
"bells",2
"beloved",2
"bigger",2
"black",2
"blood",2
"blow",2
"blush",2
"book",2
"boredom",2
"brel",2
"bright",2
"buba",2
"budding",2
"built",2
"butterflies",2
"call",2
"calling",2
